"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5540","Admin Referring Doctor","chromium","Fri Dec 12 11:33:47 UTC 2025","passed","Fri Dec 12 11:33:52 UTC 2025","","Admin/admin.spec.js","",""
"","5627","Admin Scancenter","firefox","Fri Dec 12 11:34:09 UTC 2025","passed","Fri Dec 12 11:34:15 UTC 2025","","Admin/admin.spec.js","",""
"","56","Checking patient detail table is visible","chromium","Fri Dec 12 11:33:36 UTC 2025","passed","Fri Dec 12 11:33:36 UTC 2025","","Admin/admin.spec.js","",""
"","4742","Admin Referring Doctor","firefox","Fri Dec 12 11:34:21 UTC 2025","passed","Fri Dec 12 11:34:25 UTC 2025","","Admin/admin.spec.js","",""
"","5714","Admin Doctor","chromium","Fri Dec 12 11:33:41 UTC 2025","passed","Fri Dec 12 11:33:47 UTC 2025","","Admin/admin.spec.js","",""
"","3063","Case filter button","chromium","Fri Dec 12 11:33:23 UTC 2025","passed","Fri Dec 12 11:33:26 UTC 2025","","Admin/admin.spec.js","",""
"","5958","Admin Doctor","firefox","Fri Dec 12 11:34:15 UTC 2025","passed","Fri Dec 12 11:34:21 UTC 2025","","Admin/admin.spec.js","",""
"","6035","Choose Date","chromium","Fri Dec 12 11:33:30 UTC 2025","passed","Fri Dec 12 11:33:36 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","chromium","Fri Dec 12 11:33:36 UTC 2025","skipped","Fri Dec 12 11:33:36 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","firefox","Fri Dec 12 11:34:09 UTC 2025","skipped","Fri Dec 12 11:34:09 UTC 2025","","Admin/admin.spec.js","",""
"","5186","Admin Scancenter","chromium","Fri Dec 12 11:33:36 UTC 2025","passed","Fri Dec 12 11:33:41 UTC 2025","","Admin/admin.spec.js","",""
"","72","Checking all the filter options and giving inputs in patient_id filter","chromium","Fri Dec 12 11:33:36 UTC 2025","passed","Fri Dec 12 11:33:36 UTC 2025","","Admin/admin.spec.js","",""
"","247","Checking patient detail table is visible","firefox","Fri Dec 12 11:34:08 UTC 2025","passed","Fri Dec 12 11:34:09 UTC 2025","","Admin/admin.spec.js","",""
"","1","All Filter","chromium","Fri Dec 12 11:33:36 UTC 2025","skipped","Fri Dec 12 11:33:36 UTC 2025","","Admin/admin.spec.js","",""
"","3295","Case filter button","firefox","Fri Dec 12 11:33:53 UTC 2025","passed","Fri Dec 12 11:33:57 UTC 2025","","Admin/admin.spec.js","",""
"","249","Checking all the filter options and giving inputs in patient_id filter","firefox","Fri Dec 12 11:34:09 UTC 2025","passed","Fri Dec 12 11:34:09 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","firefox","Fri Dec 12 11:34:09 UTC 2025","skipped","Fri Dec 12 11:34:09 UTC 2025","","Admin/admin.spec.js","",""
"","7061","Choose Date","firefox","Fri Dec 12 11:34:01 UTC 2025","passed","Fri Dec 12 11:34:08 UTC 2025","","Admin/admin.spec.js","",""
