"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3281","Case filter button","firefox","Fri Dec 12 09:47:57 UTC 2025","passed","Fri Dec 12 09:48:00 UTC 2025","","Admin/admin.spec.js","",""
"","69","Checking all the filter options and giving inputs in patient_id filter","chromium","Fri Dec 12 09:47:41 UTC 2025","passed","Fri Dec 12 09:47:41 UTC 2025","","Admin/admin.spec.js","",""
"","1","Admin Action Buttons","chromium","Fri Dec 12 09:47:41 UTC 2025","skipped","Fri Dec 12 09:47:41 UTC 2025","","Admin/admin.spec.js","",""
"","5583","Admin Scancenter","firefox","Fri Dec 12 09:48:14 UTC 2025","passed","Fri Dec 12 09:48:19 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","firefox","Fri Dec 12 09:48:14 UTC 2025","skipped","Fri Dec 12 09:48:14 UTC 2025","","Admin/admin.spec.js","",""
"","5716","Admin Doctor","chromium","Fri Dec 12 09:47:46 UTC 2025","passed","Fri Dec 12 09:47:52 UTC 2025","","Admin/admin.spec.js","",""
"","3","All Filter","firefox","Fri Dec 12 09:48:14 UTC 2025","skipped","Fri Dec 12 09:48:14 UTC 2025","","Admin/admin.spec.js","",""
"","4558","Admin Referring Doctor","chromium","Fri Dec 12 09:47:52 UTC 2025","passed","Fri Dec 12 09:47:56 UTC 2025","","Admin/admin.spec.js","",""
"","239","Checking all the filter options and giving inputs in patient_id filter","firefox","Fri Dec 12 09:48:13 UTC 2025","passed","Fri Dec 12 09:48:14 UTC 2025","","Admin/admin.spec.js","",""
"","269","Checking patient detail table is visible","firefox","Fri Dec 12 09:48:13 UTC 2025","passed","Fri Dec 12 09:48:13 UTC 2025","","Admin/admin.spec.js","",""
"","61","Checking patient detail table is visible","chromium","Fri Dec 12 09:47:40 UTC 2025","passed","Fri Dec 12 09:47:41 UTC 2025","","Admin/admin.spec.js","",""
"","5194","Admin Referring Doctor","firefox","Fri Dec 12 09:48:25 UTC 2025","passed","Fri Dec 12 09:48:30 UTC 2025","","Admin/admin.spec.js","",""
"","5794","Admin Doctor","firefox","Fri Dec 12 09:48:19 UTC 2025","passed","Fri Dec 12 09:48:25 UTC 2025","","Admin/admin.spec.js","",""
"","3057","Case filter button","chromium","Fri Dec 12 09:47:26 UTC 2025","passed","Fri Dec 12 09:47:29 UTC 2025","","Admin/admin.spec.js","",""
"","5212","Admin Scancenter","chromium","Fri Dec 12 09:47:41 UTC 2025","passed","Fri Dec 12 09:47:46 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","chromium","Fri Dec 12 09:47:41 UTC 2025","skipped","Fri Dec 12 09:47:41 UTC 2025","","Admin/admin.spec.js","",""
"","6183","Choose Date","chromium","Fri Dec 12 09:47:34 UTC 2025","passed","Fri Dec 12 09:47:40 UTC 2025","","Admin/admin.spec.js","",""
"","7054","Choose Date","firefox","Fri Dec 12 09:48:06 UTC 2025","passed","Fri Dec 12 09:48:13 UTC 2025","","Admin/admin.spec.js","",""
