"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4483","Admin Referring Doctor","chromium","Fri Dec 12 12:07:48 UTC 2025","passed","Fri Dec 12 12:07:53 UTC 2025","","Admin/admin.spec.js","",""
"","5170","Admin Doctor","chromium","Fri Dec 12 12:07:43 UTC 2025","passed","Fri Dec 12 12:07:48 UTC 2025","","Admin/admin.spec.js","",""
"","7039","Admin Scancenter","firefox","Fri Dec 12 12:08:11 UTC 2025","passed","Fri Dec 12 12:08:18 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","firefox","Fri Dec 12 12:08:11 UTC 2025","skipped","Fri Dec 12 12:08:11 UTC 2025","","Admin/admin.spec.js","",""
"","3256","Case filter button","firefox","Fri Dec 12 12:07:54 UTC 2025","passed","Fri Dec 12 12:07:57 UTC 2025","","Admin/admin.spec.js","",""
"","265","Checking all the filter options and giving inputs in patient_id filter","firefox","Fri Dec 12 12:08:11 UTC 2025","passed","Fri Dec 12 12:08:11 UTC 2025","","Admin/admin.spec.js","",""
"","2","Admin Action Buttons","firefox","Fri Dec 12 12:08:11 UTC 2025","skipped","Fri Dec 12 12:08:11 UTC 2025","","Admin/admin.spec.js","",""
"","1","All Filter","chromium","Fri Dec 12 12:07:38 UTC 2025","skipped","Fri Dec 12 12:07:38 UTC 2025","","Admin/admin.spec.js","",""
"","5921","Admin Referring Doctor","firefox","Fri Dec 12 12:08:25 UTC 2025","passed","Fri Dec 12 12:08:31 UTC 2025","","Admin/admin.spec.js","",""
"","6049","Choose Date","chromium","Fri Dec 12 12:07:32 UTC 2025","passed","Fri Dec 12 12:07:38 UTC 2025","","Admin/admin.spec.js","",""
"","58","Checking patient detail table is visible","chromium","Fri Dec 12 12:07:38 UTC 2025","passed","Fri Dec 12 12:07:38 UTC 2025","","Admin/admin.spec.js","",""
"","241","Checking patient detail table is visible","firefox","Fri Dec 12 12:08:10 UTC 2025","passed","Fri Dec 12 12:08:11 UTC 2025","","Admin/admin.spec.js","",""
"","6795","Admin Doctor","firefox","Fri Dec 12 12:08:18 UTC 2025","passed","Fri Dec 12 12:08:25 UTC 2025","","Admin/admin.spec.js","",""
"","63","Checking all the filter options and giving inputs in patient_id filter","chromium","Fri Dec 12 12:07:38 UTC 2025","passed","Fri Dec 12 12:07:38 UTC 2025","","Admin/admin.spec.js","",""
"","5090","Admin Scancenter","chromium","Fri Dec 12 12:07:38 UTC 2025","passed","Fri Dec 12 12:07:43 UTC 2025","","Admin/admin.spec.js","",""
"","6843","Choose Date","firefox","Fri Dec 12 12:08:04 UTC 2025","passed","Fri Dec 12 12:08:10 UTC 2025","","Admin/admin.spec.js","",""
"","3055","Case filter button","chromium","Fri Dec 12 12:07:21 UTC 2025","passed","Fri Dec 12 12:07:24 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","chromium","Fri Dec 12 12:07:38 UTC 2025","skipped","Fri Dec 12 12:07:38 UTC 2025","","Admin/admin.spec.js","",""
