"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5526","Admin Scancenter","firefox","Fri Dec 12 10:38:51 UTC 2025","passed","Fri Dec 12 10:38:56 UTC 2025","","Admin/admin.spec.js","",""
"","60","Checking patient detail table is visible","chromium","Fri Dec 12 10:38:16 UTC 2025","passed","Fri Dec 12 10:38:16 UTC 2025","","Admin/admin.spec.js","",""
"","223","Checking patient detail table is visible","firefox","Fri Dec 12 10:38:50 UTC 2025","passed","Fri Dec 12 10:38:51 UTC 2025","","Admin/admin.spec.js","",""
"","6046","Admin Scancenter","chromium","Fri Dec 12 10:38:16 UTC 2025","passed","Fri Dec 12 10:38:22 UTC 2025","","Admin/admin.spec.js","",""
"","4646","Admin Referring Doctor","firefox","Fri Dec 12 10:39:02 UTC 2025","passed","Fri Dec 12 10:39:07 UTC 2025","","Admin/admin.spec.js","",""
"","67","Checking all the filter options and giving inputs in patient_id filter","chromium","Fri Dec 12 10:38:16 UTC 2025","passed","Fri Dec 12 10:38:16 UTC 2025","","Admin/admin.spec.js","",""
"","3252","Case filter button","firefox","Fri Dec 12 10:38:36 UTC 2025","passed","Fri Dec 12 10:38:39 UTC 2025","","Admin/admin.spec.js","",""
"","1","All Filter","chromium","Fri Dec 12 10:38:16 UTC 2025","skipped","Fri Dec 12 10:38:16 UTC 2025","","Admin/admin.spec.js","",""
"","6770","Choose Date","firefox","Fri Dec 12 10:38:44 UTC 2025","passed","Fri Dec 12 10:38:50 UTC 2025","","Admin/admin.spec.js","",""
"","3075","Case filter button","chromium","Fri Dec 12 10:38:01 UTC 2025","passed","Fri Dec 12 10:38:04 UTC 2025","","Admin/admin.spec.js","",""
"","6322","Admin Doctor","chromium","Fri Dec 12 10:38:22 UTC 2025","passed","Fri Dec 12 10:38:28 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","firefox","Fri Dec 12 10:38:51 UTC 2025","skipped","Fri Dec 12 10:38:51 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","firefox","Fri Dec 12 10:38:51 UTC 2025","skipped","Fri Dec 12 10:38:51 UTC 2025","","Admin/admin.spec.js","",""
"","5718","Admin Doctor","firefox","Fri Dec 12 10:38:57 UTC 2025","passed","Fri Dec 12 10:39:02 UTC 2025","","Admin/admin.spec.js","",""
"","6172","Choose Date","chromium","Fri Dec 12 10:38:10 UTC 2025","passed","Fri Dec 12 10:38:16 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","chromium","Fri Dec 12 10:38:16 UTC 2025","skipped","Fri Dec 12 10:38:16 UTC 2025","","Admin/admin.spec.js","",""
"","236","Checking all the filter options and giving inputs in patient_id filter","firefox","Fri Dec 12 10:38:51 UTC 2025","passed","Fri Dec 12 10:38:51 UTC 2025","","Admin/admin.spec.js","",""
"","6403","Admin Referring Doctor","chromium","Fri Dec 12 10:38:28 UTC 2025","passed","Fri Dec 12 10:38:35 UTC 2025","","Admin/admin.spec.js","",""
