"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","Checking patient detail table is visible","firefox","Fri Dec 12 11:02:18 UTC 2025","passed","Fri Dec 12 11:02:19 UTC 2025","","Admin/admin.spec.js","",""
"","256","Checking all the filter options and giving inputs in patient_id filter","firefox","Fri Dec 12 11:02:19 UTC 2025","passed","Fri Dec 12 11:02:19 UTC 2025","","Admin/admin.spec.js","",""
"","6964","Choose Date","firefox","Fri Dec 12 11:02:11 UTC 2025","passed","Fri Dec 12 11:02:18 UTC 2025","","Admin/admin.spec.js","",""
"","3056","Case filter button","chromium","Fri Dec 12 11:01:27 UTC 2025","passed","Fri Dec 12 11:01:30 UTC 2025","","Admin/admin.spec.js","",""
"","58","Checking patient detail table is visible","chromium","Fri Dec 12 11:01:46 UTC 2025","passed","Fri Dec 12 11:01:46 UTC 2025","","Admin/admin.spec.js","",""
"","4994","Admin Referring Doctor","chromium","Fri Dec 12 11:01:57 UTC 2025","passed","Fri Dec 12 11:02:02 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","firefox","Fri Dec 12 11:02:19 UTC 2025","skipped","Fri Dec 12 11:02:19 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","chromium","Fri Dec 12 11:01:46 UTC 2025","skipped","Fri Dec 12 11:01:46 UTC 2025","","Admin/admin.spec.js","",""
"","6123","Choose Date","chromium","Fri Dec 12 11:01:40 UTC 2025","passed","Fri Dec 12 11:01:46 UTC 2025","","Admin/admin.spec.js","",""
"","5654","Admin Scancenter","firefox","Fri Dec 12 11:02:19 UTC 2025","passed","Fri Dec 12 11:02:25 UTC 2025","","Admin/admin.spec.js","",""
"","69","Checking all the filter options and giving inputs in patient_id filter","chromium","Fri Dec 12 11:01:46 UTC 2025","passed","Fri Dec 12 11:01:46 UTC 2025","","Admin/admin.spec.js","",""
"","1","All Filter","chromium","Fri Dec 12 11:01:46 UTC 2025","skipped","Fri Dec 12 11:01:46 UTC 2025","","Admin/admin.spec.js","",""
"","5930","Admin Doctor","firefox","Fri Dec 12 11:02:25 UTC 2025","passed","Fri Dec 12 11:02:31 UTC 2025","","Admin/admin.spec.js","",""
"","4654","Admin Referring Doctor","firefox","Fri Dec 12 11:02:31 UTC 2025","passed","Fri Dec 12 11:02:35 UTC 2025","","Admin/admin.spec.js","",""
"","3305","Case filter button","firefox","Fri Dec 12 11:02:03 UTC 2025","passed","Fri Dec 12 11:02:06 UTC 2025","","Admin/admin.spec.js","",""
"","5725","Admin Doctor","chromium","Fri Dec 12 11:01:51 UTC 2025","passed","Fri Dec 12 11:01:57 UTC 2025","","Admin/admin.spec.js","",""
"","5172","Admin Scancenter","chromium","Fri Dec 12 11:01:46 UTC 2025","passed","Fri Dec 12 11:01:51 UTC 2025","","Admin/admin.spec.js","",""
"","1","All Filter","firefox","Fri Dec 12 11:02:19 UTC 2025","skipped","Fri Dec 12 11:02:19 UTC 2025","","Admin/admin.spec.js","",""
